,State,State Code,City,Occupation Code,Occupation,Employment Count,Average Hourly Wages,Average Annual Wages
9991,CA,17020,"Chico, CA",15-1151,Computer User Support Specialists,350,22.24,46260
9992,CA,17020,"Chico, CA",15-1152,Computer Network Support Specialists,40,30.16,62740
9993,CA,17020,"Chico, CA",15-1199,"Computer Occupations, All Other",110,25.85,53760
10278,CA,20940,"El Centro, CA",15-0000,Computer and Mathematical Occupations,320,35.35,73520
10279,CA,20940,"El Centro, CA",15-1121,Computer Systems Analysts,70,35.79,74450
10280,CA,20940,"El Centro, CA",15-1142,Network and Computer Systems Administrators,40,38.04,79120
10281,CA,20940,"El Centro, CA",15-1151,Computer User Support Specialists,90,26,54090
10282,CA,20940,"El Centro, CA",15-1152,Computer Network Support Specialists,30,32.02,66610
10527,CA,23420,"Fresno, CA",15-0000,Computer and Mathematical Occupations,3310,35.2,73210
10528,CA,23420,"Fresno, CA",15-1121,Computer Systems Analysts,480,36.62,76160
10529,CA,23420,"Fresno, CA",15-1122,Information Security Analysts,60,42.21,87810
10530,CA,23420,"Fresno, CA",15-1131,Computer Programmers,220,36.93,76810
10531,CA,23420,"Fresno, CA",15-1132,"Software Developers, Applications",240,49.6,103170
10532,CA,23420,"Fresno, CA",15-1133,"Software Developers, Systems Software",140,43.8,91100
10533,CA,23420,"Fresno, CA",15-1134,Web Developers,150,30.54,63530
10534,CA,23420,"Fresno, CA",15-1141,Database Administrators,50,43.75,91010
10535,CA,23420,"Fresno, CA",15-1142,Network and Computer Systems Administrators,460,37.05,77070
10536,CA,23420,"Fresno, CA",15-1143,Computer Network Architects,70,56.66,117850
10537,CA,23420,"Fresno, CA",15-1151,Computer User Support Specialists,780,23.75,49400
10538,CA,23420,"Fresno, CA",15-1152,Computer Network Support Specialists,200,34.15,71030
10539,CA,23420,"Fresno, CA",15-1199,"Computer Occupations, All Other",320,37.35,77700
10540,CA,23420,"Fresno, CA",15-2031,Operations Research Analysts,110,35.22,73260
11008,CA,25260,"Hanford-Corcoran, CA",15-0000,Computer and Mathematical Occupations,340,33.93,70580
11009,CA,25260,"Hanford-Corcoran, CA",15-1121,Computer Systems Analysts,50,38.71,80510
11010,CA,25260,"Hanford-Corcoran, CA",15-1151,Computer User Support Specialists,70,20.45,42530
11011,CA,25260,"Hanford-Corcoran, CA",15-1199,"Computer Occupations, All Other",**,29.35,61050
11242,CA,31084,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",15-0000,Computer and Mathematical Occupations,110160,44.99,93590
11243,CA,31084,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",15-1111,Computer and Information Research Scientists,1040,60.42,125660
11244,CA,31084,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",15-1121,Computer Systems Analysts,14450,45.2,94020
11245,CA,31084,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",15-1122,Information Security Analysts,2170,48.98,101870
11246,CA,31084,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",15-1131,Computer Programmers,6740,43.98,91470
11247,CA,31084,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",15-1132,"Software Developers, Applications",16970,53.5,111270
11248,CA,31084,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",15-1133,"Software Developers, Systems Software",14610,58.55,121790
11249,CA,31084,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",15-1134,Web Developers,5660,36.81,76570
11250,CA,31084,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",15-1141,Database Administrators,2500,45.98,95640
11251,CA,31084,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",15-1142,Network and Computer Systems Administrators,9850,43.9,91310
11252,CA,31084,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",15-1143,Computer Network Architects,3100,59.59,123950
11253,CA,31084,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",15-1151,Computer User Support Specialists,14960,27.5,57200
11254,CA,31084,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",15-1152,Computer Network Support Specialists,3990,36.56,76050
11255,CA,31084,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",15-1199,"Computer Occupations, All Other",9970,39.72,82610
11256,CA,31084,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",15-2011,Actuaries,480,52.52,109250
11257,CA,31084,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",15-2021,Mathematicians,60,34.89,72580
11258,CA,31084,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",15-2031,Operations Research Analysts,2660,43.61,90720
11259,CA,31084,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",15-2041,Statisticians,950,39.54,82240
11948,CA,31460,"Madera, CA",15-0000,Computer and Mathematical Occupations,300,34.33,71410
11949,CA,31460,"Madera, CA",15-1121,Computer Systems Analysts,40,40.69,84640
11950,CA,31460,"Madera, CA",15-1142,Network and Computer Systems Administrators,70,33.45,69570
11951,CA,31460,"Madera, CA",15-1151,Computer User Support Specialists,70,26.31,54720
12151,CA,32900,"Merced, CA",15-0000,Computer and Mathematical Occupations,**,36.65,76240
12152,CA,32900,"Merced, CA",15-1121,Computer Systems Analysts,**,38.42,79920
12153,CA,32900,"Merced, CA",15-1132,"Software Developers, Applications",**,40.64,84540
12154,CA,32900,"Merced, CA",15-1142,Network and Computer Systems Administrators,140,39.33,81820
12155,CA,32900,"Merced, CA",15-1151,Computer User Support Specialists,110,22.96,47760
12156,CA,32900,"Merced, CA",15-1152,Computer Network Support Specialists,40,32.7,68010
12157,CA,32900,"Merced, CA",15-1199,"Computer Occupations, All Other",**,31.35,65210
12158,CA,32900,"Merced, CA",15-2041,Statisticians,**,32.06,66680
12427,CA,33700,"Modesto, CA",15-0000,Computer and Mathematical Occupations,1390,34.35,71440
12428,CA,33700,"Modesto, CA",15-1121,Computer Systems Analysts,140,36.74,76420
12429,CA,33700,"Modesto, CA",15-1131,Computer Programmers,100,33.64,69970
12430,CA,33700,"Modesto, CA",15-1132,"Software Developers, Applications",130,43.1,89660
12431,CA,33700,"Modesto, CA",15-1133,"Software Developers, Systems Software",60,42.28,87940
12432,CA,33700,"Modesto, CA",15-1141,Database Administrators,40,36.12,75140
12433,CA,33700,"Modesto, CA",15-1142,Network and Computer Systems Administrators,160,37.84,78700
12434,CA,33700,"Modesto, CA",15-1143,Computer Network Architects,**,35.06,72930
12435,CA,33700,"Modesto, CA",15-1151,Computer User Support Specialists,390,25.28,52580
12436,CA,33700,"Modesto, CA",15-1152,Computer Network Support Specialists,80,34.26,71260
12437,CA,33700,"Modesto, CA",15-1199,"Computer Occupations, All Other",160,35.94,74750
12438,CA,33700,"Modesto, CA",15-2031,Operations Research Analysts,40,40.58,84400
12826,CA,34900,"Napa, CA",15-0000,Computer and Mathematical Occupations,670,41.19,85680
12827,CA,34900,"Napa, CA",15-1121,Computer Systems Analysts,100,39.69,82550
12828,CA,34900,"Napa, CA",15-1131,Computer Programmers,40,46.12,95930
12829,CA,34900,"Napa, CA",15-1132,"Software Developers, Applications",**,59.13,123000
12830,CA,34900,"Napa, CA",15-1134,Web Developers,80,34.3,71340
12831,CA,34900,"Napa, CA",15-1142,Network and Computer Systems Administrators,70,42.22,87820
12832,CA,34900,"Napa, CA",15-1151,Computer User Support Specialists,110,27.19,56560
12833,CA,34900,"Napa, CA",15-1152,Computer Network Support Specialists,40,43.51,90500
12834,CA,34900,"Napa, CA",15-1199,"Computer Occupations, All Other",40,39.5,82160
13128,CA,36084,"Oakland-Hayward-Berkeley, CA Metropolitan Division",15-0000,Computer and Mathematical Occupations,41500,51.87,107880
13129,CA,36084,"Oakland-Hayward-Berkeley, CA Metropolitan Division",15-1111,Computer and Information Research Scientists,330,54.57,113500
13130,CA,36084,"Oakland-Hayward-Berkeley, CA Metropolitan Division",15-1121,Computer Systems Analysts,5230,49.27,102480
13131,CA,36084,"Oakland-Hayward-Berkeley, CA Metropolitan Division",15-1122,Information Security Analysts,570,57.71,120040
13132,CA,36084,"Oakland-Hayward-Berkeley, CA Metropolitan Division",15-1131,Computer Programmers,2930,*,*
13133,CA,36084,"Oakland-Hayward-Berkeley, CA Metropolitan Division",15-1132,"Software Developers, Applications",10010,60.15,125120
13134,CA,36084,"Oakland-Hayward-Berkeley, CA Metropolitan Division",15-1133,"Software Developers, Systems Software",4690,62.66,130330
13135,CA,36084,"Oakland-Hayward-Berkeley, CA Metropolitan Division",15-1134,Web Developers,1540,41.89,87130
13136,CA,36084,"Oakland-Hayward-Berkeley, CA Metropolitan Division",15-1141,Database Administrators,970,49.28,102500
13137,CA,36084,"Oakland-Hayward-Berkeley, CA Metropolitan Division",15-1142,Network and Computer Systems Administrators,3490,49.72,103410
13138,CA,36084,"Oakland-Hayward-Berkeley, CA Metropolitan Division",15-1143,Computer Network Architects,1480,63.6,132280
13139,CA,36084,"Oakland-Hayward-Berkeley, CA Metropolitan Division",15-1151,Computer User Support Specialists,4420,30.73,63910
13140,CA,36084,"Oakland-Hayward-Berkeley, CA Metropolitan Division",15-1152,Computer Network Support Specialists,1700,41.37,86050
13141,CA,36084,"Oakland-Hayward-Berkeley, CA Metropolitan Division",15-1199,"Computer Occupations, All Other",2890,51.08,106240
13142,CA,36084,"Oakland-Hayward-Berkeley, CA Metropolitan Division",15-2021,Mathematicians,**,39.08,81300
13143,CA,36084,"Oakland-Hayward-Berkeley, CA Metropolitan Division",15-2031,Operations Research Analysts,910,49.47,102910
13144,CA,36084,"Oakland-Hayward-Berkeley, CA Metropolitan Division",15-2041,Statisticians,220,41.66,86640
13766,CA,37100,"Oxnard-Thousand Oaks-Ventura, CA",15-0000,Computer and Mathematical Occupations,7260,43.34,90150
13767,CA,37100,"Oxnard-Thousand Oaks-Ventura, CA",15-1111,Computer and Information Research Scientists,180,52.81,109850
13768,CA,37100,"Oxnard-Thousand Oaks-Ventura, CA",15-1121,Computer Systems Analysts,800,53.82,111940
13769,CA,37100,"Oxnard-Thousand Oaks-Ventura, CA",15-1131,Computer Programmers,310,38.58,80240
13770,CA,37100,"Oxnard-Thousand Oaks-Ventura, CA",15-1132,"Software Developers, Applications",880,52.26,108700
13771,CA,37100,"Oxnard-Thousand Oaks-Ventura, CA",15-1133,"Software Developers, Systems Software",720,53.87,112050
13772,CA,37100,"Oxnard-Thousand Oaks-Ventura, CA",15-1134,Web Developers,380,30.03,62470
13773,CA,37100,"Oxnard-Thousand Oaks-Ventura, CA",15-1141,Database Administrators,140,40.49,84220
13774,CA,37100,"Oxnard-Thousand Oaks-Ventura, CA",15-1142,Network and Computer Systems Administrators,590,42.23,87850
13775,CA,37100,"Oxnard-Thousand Oaks-Ventura, CA",15-1143,Computer Network Architects,170,58.51,121700
13776,CA,37100,"Oxnard-Thousand Oaks-Ventura, CA",15-1151,Computer User Support Specialists,1390,24.84,51670
13777,CA,37100,"Oxnard-Thousand Oaks-Ventura, CA",15-1152,Computer Network Support Specialists,380,40.45,84140
13778,CA,37100,"Oxnard-Thousand Oaks-Ventura, CA",15-1199,"Computer Occupations, All Other",740,45.26,94130
13779,CA,37100,"Oxnard-Thousand Oaks-Ventura, CA",15-2031,Operations Research Analysts,210,41.93,87210
14239,CA,39820,"Redding, CA",15-0000,Computer and Mathematical Occupations,640,34.47,71690
14240,CA,39820,"Redding, CA",15-1121,Computer Systems Analysts,90,42.32,88030
14241,CA,39820,"Redding, CA",15-1142,Network and Computer Systems Administrators,90,40.42,84070
14242,CA,39820,"Redding, CA",15-1151,Computer User Support Specialists,160,19.78,41150
14243,CA,39820,"Redding, CA",15-1152,Computer Network Support Specialists,40,31,64480
14244,CA,39820,"Redding, CA",15-1199,"Computer Occupations, All Other",90,29.56,61480
14554,CA,40140,"Riverside-San Bernardino-Ontario, CA",15-0000,Computer and Mathematical Occupations,14740,37.28,77540
14555,CA,40140,"Riverside-San Bernardino-Ontario, CA",15-1111,Computer and Information Research Scientists,90,58.06,120770
14556,CA,40140,"Riverside-San Bernardino-Ontario, CA",15-1121,Computer Systems Analysts,1850,38.42,79910
14557,CA,40140,"Riverside-San Bernardino-Ontario, CA",15-1122,Information Security Analysts,130,45.93,95540
14558,CA,40140,"Riverside-San Bernardino-Ontario, CA",15-1131,Computer Programmers,830,37.89,78820
14559,CA,40140,"Riverside-San Bernardino-Ontario, CA",15-1132,"Software Developers, Applications",1650,47.68,99170
14560,CA,40140,"Riverside-San Bernardino-Ontario, CA",15-1133,"Software Developers, Systems Software",1000,50.14,104300
14561,CA,40140,"Riverside-San Bernardino-Ontario, CA",15-1134,Web Developers,680,28.22,58700
14562,CA,40140,"Riverside-San Bernardino-Ontario, CA",15-1141,Database Administrators,460,40.99,85270
14563,CA,40140,"Riverside-San Bernardino-Ontario, CA",15-1142,Network and Computer Systems Administrators,1680,37.45,77900
14564,CA,40140,"Riverside-San Bernardino-Ontario, CA",15-1143,Computer Network Architects,280,48.4,100680
14565,CA,40140,"Riverside-San Bernardino-Ontario, CA",15-1151,Computer User Support Specialists,3110,26.12,54330
14566,CA,40140,"Riverside-San Bernardino-Ontario, CA",15-1152,Computer Network Support Specialists,960,32.78,68190
14567,CA,40140,"Riverside-San Bernardino-Ontario, CA",15-1199,"Computer Occupations, All Other",1670,39.21,81560
14568,CA,40140,"Riverside-San Bernardino-Ontario, CA",15-2031,Operations Research Analysts,230,41.07,85430
14569,CA,40140,"Riverside-San Bernardino-Ontario, CA",15-2041,Statisticians,100,37.6,78200
15219,CA,40900,"Sacramento--Roseville--Arden-Arcade, CA",15-0000,Computer and Mathematical Occupations,34370,42.21,87800
15220,CA,40900,"Sacramento--Roseville--Arden-Arcade, CA",15-1111,Computer and Information Research Scientists,**,59.41,123580
15221,CA,40900,"Sacramento--Roseville--Arden-Arcade, CA",15-1121,Computer Systems Analysts,8010,40.25,83720
15222,CA,40900,"Sacramento--Roseville--Arden-Arcade, CA",15-1122,Information Security Analysts,300,52.64,109480
15223,CA,40900,"Sacramento--Roseville--Arden-Arcade, CA",15-1131,Computer Programmers,2950,39.5,82160
15224,CA,40900,"Sacramento--Roseville--Arden-Arcade, CA",15-1132,"Software Developers, Applications",4150,49.37,102690
15225,CA,40900,"Sacramento--Roseville--Arden-Arcade, CA",15-1133,"Software Developers, Systems Software",6050,47.09,97960
15226,CA,40900,"Sacramento--Roseville--Arden-Arcade, CA",15-1134,Web Developers,800,*,*
15227,CA,40900,"Sacramento--Roseville--Arden-Arcade, CA",15-1141,Database Administrators,730,41.85,87040
15228,CA,40900,"Sacramento--Roseville--Arden-Arcade, CA",15-1142,Network and Computer Systems Administrators,1920,42.77,88950
15229,CA,40900,"Sacramento--Roseville--Arden-Arcade, CA",15-1143,Computer Network Architects,760,58.67,122030
15230,CA,40900,"Sacramento--Roseville--Arden-Arcade, CA",15-1151,Computer User Support Specialists,3200,27.13,56430
15231,CA,40900,"Sacramento--Roseville--Arden-Arcade, CA",15-1152,Computer Network Support Specialists,850,35.22,73250
15232,CA,40900,"Sacramento--Roseville--Arden-Arcade, CA",15-1199,"Computer Occupations, All Other",2080,46.29,96280
15233,CA,40900,"Sacramento--Roseville--Arden-Arcade, CA",15-2011,Actuaries,100,54.45,113250
15234,CA,40900,"Sacramento--Roseville--Arden-Arcade, CA",15-2031,Operations Research Analysts,1160,35.05,72910
15235,CA,40900,"Sacramento--Roseville--Arden-Arcade, CA",15-2041,Statisticians,1060,36.37,75660
15860,CA,41500,"Salinas, CA",15-0000,Computer and Mathematical Occupations,2070,46.5,96730
15861,CA,41500,"Salinas, CA",15-1121,Computer Systems Analysts,260,52.4,109000
15862,CA,41500,"Salinas, CA",15-1131,Computer Programmers,80,47.21,98190
15863,CA,41500,"Salinas, CA",15-1132,"Software Developers, Applications",190,47.48,98760
15864,CA,41500,"Salinas, CA",15-1133,"Software Developers, Systems Software",130,47.58,98960
15865,CA,41500,"Salinas, CA",15-1134,Web Developers,70,32.35,67280
15866,CA,41500,"Salinas, CA",15-1141,Database Administrators,60,45.36,94340
15867,CA,41500,"Salinas, CA",15-1142,Network and Computer Systems Administrators,140,*,*
15868,CA,41500,"Salinas, CA",15-1143,Computer Network Architects,30,*,*
15869,CA,41500,"Salinas, CA",15-1151,Computer User Support Specialists,270,28.68,59650
15870,CA,41500,"Salinas, CA",15-1152,Computer Network Support Specialists,140,31.22,64940
15871,CA,41500,"Salinas, CA",15-1199,"Computer Occupations, All Other",480,52.1,108360
15872,CA,41500,"Salinas, CA",15-2031,Operations Research Analysts,160,45.77,95210
16265,CA,41740,"San Diego-Carlsbad, CA",15-0000,Computer and Mathematical Occupations,52200,46.49,96710
16266,CA,41740,"San Diego-Carlsbad, CA",15-1111,Computer and Information Research Scientists,940,56.97,118500
16267,CA,41740,"San Diego-Carlsbad, CA",15-1121,Computer Systems Analysts,5730,48.55,100990
16268,CA,41740,"San Diego-Carlsbad, CA",15-1122,Information Security Analysts,680,47.57,98950
16269,CA,41740,"San Diego-Carlsbad, CA",15-1131,Computer Programmers,4700,46.71,97150
16270,CA,41740,"San Diego-Carlsbad, CA",15-1132,"Software Developers, Applications",10730,50.37,104770
16271,CA,41740,"San Diego-Carlsbad, CA",15-1133,"Software Developers, Systems Software",7620,56.29,117080
16272,CA,41740,"San Diego-Carlsbad, CA",15-1134,Web Developers,1800,27.91,58060
16273,CA,41740,"San Diego-Carlsbad, CA",15-1141,Database Administrators,1100,45.62,94890
16274,CA,41740,"San Diego-Carlsbad, CA",15-1142,Network and Computer Systems Administrators,3270,43.27,90000
16275,CA,41740,"San Diego-Carlsbad, CA",15-1143,Computer Network Architects,1510,63.45,131970
16276,CA,41740,"San Diego-Carlsbad, CA",15-1151,Computer User Support Specialists,5010,28.48,59240
16277,CA,41740,"San Diego-Carlsbad, CA",15-1152,Computer Network Support Specialists,1480,34.2,71140
16278,CA,41740,"San Diego-Carlsbad, CA",15-1199,"Computer Occupations, All Other",5550,43.27,90000
16279,CA,41740,"San Diego-Carlsbad, CA",15-2021,Mathematicians,160,69.35,144240
16280,CA,41740,"San Diego-Carlsbad, CA",15-2031,Operations Research Analysts,1210,45.41,94440
16281,CA,41740,"San Diego-Carlsbad, CA",15-2041,Statisticians,680,51.99,108140
16944,CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",15-0000,Computer and Mathematical Occupations,93670,60.04,124880
16945,CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",15-1111,Computer and Information Research Scientists,990,62.31,129600
16946,CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",15-1121,Computer Systems Analysts,11450,58.84,122380
16947,CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",15-1122,Information Security Analysts,1650,55.4,115240
16948,CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",15-1131,Computer Programmers,4600,50.91,105890
16949,CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",15-1132,"Software Developers, Applications",30120,70.96,147590
